plate,price,bids
L 16,"507,000",17
L 20,"550,000",30
L 27,"350,000",17
L 34,"305,000",12
L 51,"310,000",12
J 56,"300,000",12
L 60,"422,000",22
J 73,"302,000",9
H 76,"320,000",20
J 83,"325,000",11
J 87,"303,000",9
J 95,"309,000",7
L 99,"582,000",36
J 109,"90,500",21
J 115,"100,000",4
H 132,"90,000",72
J 160,"100,000",7
L 171,"105,000",8
L 188,"100,000",5
R 196,"90,000",11
J 205,"80,000",5
L 221,"100,000",12
K 250,"81,000",9
L 303,"101,500",13
R 320,"80,500",16
J 339,"90,000",1
L 400,"150,000",32
L 414,"100,000",3
R 456,"100,000",27
S 540,"80,000",13
M 543,"90,000",16
L 660,"100,000",31
L 666,"163,500",31
S 678,"100,000",20
R 701,"90,000",9
H 722,"100,000",33
H 811,"100,000",4
L 880,"130,000",29
M 891,"80,000",1
H 918,"90,000",17
I 961,"80,000",21
S 979,"80,000",12
R 987,"80,000",20
G 1005,"13,200",34
L 1110,"50,000",11
J 1118,"30,000",5
H 1700,"20,800",14
L 1981,"15,000",6
J 1988,"13,000",17
L 1994,"15,400",8
H 2003,"13,400",20
M 2026,"11,400",12
L 2111,"30,400",7
R 2202,"20,000",6
E 2332,"20,400",10
I 3033,"20,000",15
I 3322,"20,400",17
S 4114,"20,000",6
L 4444,"150,500",33
L 5000,"91,000",13
L 5005,"30,400",10
S 5155,"15,400",7
H 5551,"25,000",5
K 6009,"10,200",6
L 6600,"30,000",11
I 7776,"20,200",8
D 7800,"15,000",6
R 7878,"20,600",10
L 8080,"36,000",22
M 8811,"20,000",12
J 9191,"26,200",12
R 9888,"20,000",7
L 10001,"60,400",14
S 10007,"12,400",9
L 11101,"30,600",7
K 20001,"10,200",5
L 21000,"35,400",130
B 21222,"11,000",9
I 29999,"25,200",15
J 33000,"45,000",6
B 33303,"18,000",6
M 43434,"17,000",6
J 44441,"30,000",7
I 45554,"18,200",9
S 45555,"26,800",13
L 50500,"15,400",8
K 50555,"17,200",6
R 60060,"15,400",7
R 66066,"20,200",10
L 70707,"25,000",15
J 77700,"20,800",6
L 77777,"260,500",38
S 77877,"19,400",13
R 81000,"25,600",13
J 88887,"24,000",10
J 90000,"107,000",16
H 96000,"25,600",14
S 99888,"15,000",7
S 99919,"18,400",12
L 99990,"45,000",46
